2025-09-27 22:52:58 | INFO | REQUEST | GET /dashboard | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-27 22:55:38 | INFO | REQUEST | GET /dashboard | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-27 22:58:34 | INFO | REQUEST | GET /dashboard | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-27 23:01:29 | INFO | REQUEST | GET /dashboard | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-27 23:02:05 | INFO | REQUEST | GET /build-history | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-27 23:02:05 | INFO | RESPONSE | GET /build-history | Status: 404 | Time: 0.024s
2025-09-27 23:04:27 | INFO | REQUEST | GET / | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-27 23:04:27 | INFO | RESPONSE | GET / | Status: 302 | Time: 0.006s
2025-09-27 23:06:04 | INFO | REQUEST | GET /dashboard | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-27 23:24:59 | INFO | REQUEST | GET /dashboard | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-27 23:30:53 | INFO | REQUEST | GET /dashboard | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-27 23:32:31 | INFO | REQUEST | GET /dashboard | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-27 23:51:00 | INFO | REQUEST | HEAD / | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-27 23:51:00 | INFO | RESPONSE | HEAD / | Status: 302 | Time: 0.026s
2025-09-27 23:51:22 | INFO | REQUEST | GET /login | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-27 23:51:22 | INFO | RESPONSE | GET /login | Status: 200 | Time: 0.011s
2025-09-27 23:51:54 | INFO | REQUEST | GET /login | IP: 127.0.0.1 | User-Agent: curl/8.15.0
2025-09-27 23:51:54 | INFO | RESPONSE | GET /login | Status: 200 | Time: 0.016s
2025-09-27 23:54:05 | INFO | REQUEST | GET / | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-27 23:54:05 | INFO | RESPONSE | GET / | Status: 302 | Time: 0.017s
2025-09-27 23:54:06 | INFO | REQUEST | GET /login | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-27 23:54:06 | INFO | RESPONSE | GET /login | Status: 200 | Time: 0.254s
2025-09-27 23:54:07 | INFO | REQUEST | GET /favicon.ico | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-27 23:54:08 | INFO | RESPONSE | GET /favicon.ico | Status: 404 | Time: 0.380s
2025-09-27 23:54:13 | INFO | REQUEST | POST /login | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-27 23:54:13 | INFO | RESPONSE | POST /login | Status: 302 | Time: 0.198s
2025-09-27 23:54:13 | INFO | REQUEST | GET /dashboard | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-27 23:55:58 | INFO | REQUEST | GET / | IP: 127.0.0.1 | User-Agent: curl/8.15.0
